shapeA|shapeB|x_f|y_f|k_f|time_taken
(500, 784)|(784, 256)|2|1|2|0.5325329303741455
(500, 784)|(784, 256)|2|1|3|0.25218725204467773
(500, 784)|(784, 256)|2|1|4|0.3045792579650879
(500, 784)|(784, 256)|2|1|5|0.33896398544311523
(500, 784)|(784, 256)|2|1|6|0.2897789478302002
(500, 784)|(784, 256)|2|1|7|0.29976797103881836
(500, 784)|(784, 256)|2|1|8|0.31708407402038574
(500, 784)|(784, 256)|2|1|9|0.2920260429382324
(500, 784)|(784, 256)|2|1|10|0.2786397933959961
(500, 784)|(784, 256)|2|1|11|0.3232588768005371
(500, 784)|(784, 256)|2|1|12|0.35355710983276367
(500, 784)|(784, 256)|2|1|13|0.26672887802124023
(500, 784)|(784, 256)|2|1|14|0.3386359214782715
(500, 784)|(784, 256)|2|1|15|0.2660820484161377
(500, 784)|(784, 256)|2|1|16|0.3836660385131836
(500, 784)|(784, 256)|3|1|2|0.28758978843688965
(500, 784)|(784, 256)|3|1|3|0.3422739505767822
(500, 784)|(784, 256)|3|1|4|0.2532179355621338
(500, 784)|(784, 256)|3|1|5|0.21385717391967773
(500, 784)|(784, 256)|3|1|6|0.3162102699279785
(500, 784)|(784, 256)|3|1|7|0.33834290504455566
(500, 784)|(784, 256)|3|1|8|0.3558659553527832
(500, 784)|(784, 256)|3|1|9|0.36877989768981934
(500, 784)|(784, 256)|3|1|10|0.3567500114440918
(500, 784)|(784, 256)|3|1|11|0.3647797107696533
(500, 784)|(784, 256)|3|1|12|0.35192012786865234
(500, 784)|(784, 256)|3|1|13|0.2439110279083252
(500, 784)|(784, 256)|3|1|14|0.24576997756958008
(500, 784)|(784, 256)|3|1|15|0.282451868057251
(500, 784)|(784, 256)|3|1|16|0.20582008361816406
(500, 784)|(784, 256)|3|2|3|0.32585716247558594
(500, 784)|(784, 256)|3|2|4|0.2691471576690674
(500, 784)|(784, 256)|3|2|5|0.30792999267578125
(500, 784)|(784, 256)|3|2|6|0.26788997650146484
(500, 784)|(784, 256)|3|2|7|0.7278258800506592
(500, 784)|(784, 256)|3|2|8|0.22650814056396484
(500, 784)|(784, 256)|3|2|9|0.2960700988769531
(500, 784)|(784, 256)|3|2|10|0.3574538230895996
(500, 784)|(784, 256)|3|2|11|0.2748270034790039
(500, 784)|(784, 256)|3|2|12|0.2424931526184082
(500, 784)|(784, 256)|3|2|13|0.2537519931793213
(500, 784)|(784, 256)|3|2|14|0.2730128765106201
(500, 784)|(784, 256)|3|2|15|0.23152685165405273
(500, 784)|(784, 256)|3|2|16|0.5901281833648682
(500, 784)|(784, 256)|4|1|2|0.3280370235443115
(500, 784)|(784, 256)|4|1|3|0.28236985206604004
(500, 784)|(784, 256)|4|1|4|0.34007716178894043
(500, 784)|(784, 256)|4|1|5|0.3152167797088623
(500, 784)|(784, 256)|4|1|6|0.30970168113708496
(500, 784)|(784, 256)|4|1|7|0.3775351047515869
(500, 784)|(784, 256)|4|1|8|0.35424280166625977
(500, 784)|(784, 256)|4|1|9|0.3070206642150879
(500, 784)|(784, 256)|4|1|10|0.2989819049835205
(500, 784)|(784, 256)|4|1|11|0.3313329219818115
(500, 784)|(784, 256)|4|1|12|0.32672786712646484
(500, 784)|(784, 256)|4|1|13|0.23567700386047363
(500, 784)|(784, 256)|4|1|14|0.27686381340026855
(500, 784)|(784, 256)|4|1|15|0.3214871883392334
(500, 784)|(784, 256)|4|1|16|0.3726468086242676
(500, 784)|(784, 256)|4|2|3|0.38497424125671387
(500, 784)|(784, 256)|4|2|4|0.29456210136413574
(500, 784)|(784, 256)|4|2|5|0.32547831535339355
(500, 784)|(784, 256)|4|2|6|0.32552123069763184
(500, 784)|(784, 256)|4|2|7|0.2883298397064209
(500, 784)|(784, 256)|4|2|8|0.3105740547180176
(500, 784)|(784, 256)|4|2|9|0.37071895599365234
(500, 784)|(784, 256)|4|2|10|0.32729601860046387
(500, 784)|(784, 256)|4|2|11|0.3143727779388428
(500, 784)|(784, 256)|4|2|12|0.20307397842407227
(500, 784)|(784, 256)|4|2|13|0.4648139476776123
(500, 784)|(784, 256)|4|2|14|0.33736610412597656
(500, 784)|(784, 256)|4|2|15|0.24509477615356445
(500, 784)|(784, 256)|4|2|16|0.32617998123168945
(500, 784)|(784, 256)|4|3|4|0.3364827632904053
(500, 784)|(784, 256)|4|3|5|0.37601304054260254
(500, 784)|(784, 256)|4|3|6|0.24077415466308594
(500, 784)|(784, 256)|4|3|7|0.2819058895111084
(500, 784)|(784, 256)|4|3|8|0.3630831241607666
(500, 784)|(784, 256)|4|3|9|0.3296489715576172
(500, 784)|(784, 256)|4|3|10|0.26094627380371094
(500, 784)|(784, 256)|4|3|11|0.24407339096069336
(500, 784)|(784, 256)|4|3|12|0.2075061798095703
(500, 784)|(784, 256)|4|3|13|0.27952098846435547
(500, 784)|(784, 256)|4|3|14|0.38425302505493164
(500, 784)|(784, 256)|4|3|15|0.3702809810638428
(500, 784)|(784, 256)|4|3|16|0.3330509662628174
(500, 784)|(784, 256)|5|1|2|0.2960500717163086
(500, 784)|(784, 256)|5|1|3|0.23635578155517578
(500, 784)|(784, 256)|5|1|4|0.3679850101470947
(500, 784)|(784, 256)|5|1|5|0.25781989097595215
(500, 784)|(784, 256)|5|1|6|0.2756080627441406
(500, 784)|(784, 256)|5|1|7|0.29717588424682617
(500, 784)|(784, 256)|5|1|8|0.34679603576660156
(500, 784)|(784, 256)|5|1|9|0.3498389720916748
(500, 784)|(784, 256)|5|1|10|0.3165168762207031
(500, 784)|(784, 256)|5|1|11|0.3229391574859619
(500, 784)|(784, 256)|5|1|12|0.3256547451019287
(500, 784)|(784, 256)|5|1|13|0.23403596878051758
(500, 784)|(784, 256)|5|1|14|0.253648042678833
(500, 784)|(784, 256)|5|1|15|0.28975510597229004
(500, 784)|(784, 256)|5|1|16|0.3131248950958252
(500, 784)|(784, 256)|5|2|3|0.30095791816711426
(500, 784)|(784, 256)|5|2|4|0.40167808532714844
(500, 784)|(784, 256)|5|2|5|0.2947258949279785
(500, 784)|(784, 256)|5|2|6|0.31963396072387695
(500, 784)|(784, 256)|5|2|7|0.33527302742004395
(500, 784)|(784, 256)|5|2|8|0.2897639274597168
(500, 784)|(784, 256)|5|2|9|0.3373713493347168
(500, 784)|(784, 256)|5|2|10|0.3657522201538086
(500, 784)|(784, 256)|5|2|11|0.34637904167175293
(500, 784)|(784, 256)|5|2|12|0.34598708152770996
(500, 784)|(784, 256)|5|2|13|0.2886829376220703
(500, 784)|(784, 256)|5|2|14|0.38538074493408203
(500, 784)|(784, 256)|5|2|15|0.35182714462280273
(500, 784)|(784, 256)|5|2|16|0.3936760425567627
(500, 784)|(784, 256)|5|3|4|0.4216461181640625
(500, 784)|(784, 256)|5|3|5|0.28243398666381836
(500, 784)|(784, 256)|5|3|6|0.3619852066040039
(500, 784)|(784, 256)|5|3|7|0.3483550548553467
(500, 784)|(784, 256)|5|3|8|0.35975003242492676
(500, 784)|(784, 256)|5|3|9|0.31163883209228516
(500, 784)|(784, 256)|5|3|10|0.3504359722137451
(500, 784)|(784, 256)|5|3|11|0.3337368965148926
(500, 784)|(784, 256)|5|3|12|0.3589770793914795
(500, 784)|(784, 256)|5|3|13|0.3022310733795166
(500, 784)|(784, 256)|5|3|14|0.29862213134765625
(500, 784)|(784, 256)|5|3|15|0.3591651916503906
(500, 784)|(784, 256)|5|3|16|0.32787489891052246
(500, 784)|(784, 256)|5|4|5|0.22104191780090332
(500, 784)|(784, 256)|5|4|6|0.288463830947876
(500, 784)|(784, 256)|5|4|7|0.2655141353607178
(500, 784)|(784, 256)|5|4|8|0.27699899673461914
(500, 784)|(784, 256)|5|4|9|0.38191699981689453
(500, 784)|(784, 256)|5|4|10|0.28023791313171387
(500, 784)|(784, 256)|5|4|11|0.2894937992095947
(500, 784)|(784, 256)|5|4|12|0.27113819122314453
(500, 784)|(784, 256)|5|4|13|0.24240899085998535
(500, 784)|(784, 256)|5|4|14|0.3997609615325928
